8,1,150ns (Typ),Current - Unbuffered,No,Parallel,External,±4.5 V ~ 18 V,-,-,Multiplying DAC,0°C ~ 75°C,16-SOIC (0.154"   3.90mm Width),16-SOIC
8,1,150µs,Current - Unbuffered,Yes,Parallel,External,±4.5 V ~ 18 V,9 V ~ 36 V,-,Multiplying DAC,-40°C ~ 85°C,16-SOIC (0.154"   3.90mm Width),16-SOIC
10,2,30ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,3 V ~ 5.5 V,±0.25   ±0.25,Segmented DAC,-40°C ~ 85°C,48-TQFP,48-TQFP (7x7)
12,1,500ns,Current - Unbuffered,Yes,Parallel,External,4.5 V ~ 18 V   -10.8 V ~ 18 V,20 V ~ 36 V,-   ±1 (Max),R-2R,-40°C ~ 85°C,20-DIP (0.300"   7.62mm),20-PDIP
12,1,500ns,Current - Unbuffered,Yes,Parallel,External,4.5 V ~ 18 V   -10.8 V ~ 18 V,20 V ~ 36 V,-   ±1 (Max),R-2R,-40°C ~ 85°C,20-SOIC (0.295"   7.50mm Width),20-SOIC
12,1,10µs,Voltage - Buffered,No,SPI   DSP,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±8 (Max)   ±1 (Max),String DAC,-40°C ~ 105°C,SOT-23-8,SOT-23-8
12,1,1µs,Current - Unbuffered,Yes,Parallel,External,5 V ~ 16 V,5 V ~ 16 V,±0.5 (Max)   ±0.5 (Max),R-2R,0°C ~ 70°C,18-SOIC (0.295"   7.50mm Width),18-SOIC
12,1,7µs (Typ),Voltage - Buffered,No,SPI,Internal,5V,5V,±0.25   ±0.25,R-2R,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
12,4,10µs,Voltage - Buffered,No,SPI,External,±14.25 V ~ 15.75 V,14.25 V ~ 15.75 V,±2 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,16-SOIC (0.295"   7.50mm Width),16-SOIC
12,4,10µs,Voltage - Buffered,No,Parallel,External,±14.25 V ~ 15.75 V,5V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,28-SOIC (0.295"   7.50mm Width),28-SOIC
16,1,4µs,Voltage - Buffered,No,Parallel,External   Internal,±11.4 V ~ 15.75 V   -4.75 V ~ -15.75 V,5V,±4 (Max)   ±2 (Max),R-2R,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
12,1,200ns,Current - Unbuffered,Yes,SPI,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 125°C,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-VSSOP
8,4,250ns,Current - Unbuffered,No,Parallel,External,5V,5V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,28-SOIC (0.295"   7.50mm Width),28-SOIC
12,4,10µs (Typ),Voltage - Buffered,No,Parallel,External,5 V ~ 15 V   -15V,5V,±2 (Max)   -1,R-2R,-40°C ~ 85°C,28-LCC (J-Lead),28-PLCC (11.51x11.51)
8,4,3µs (Typ),Voltage - Buffered,No,Parallel,Internal,13.5 V ~ 16.5 V,13.5 V ~ 16.5 V,±1 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-SOIC (0.295"   7.50mm Width),20-SOIC
