Non-Volatile,FRAM,FRAM (Ferroelectric RAM),64Kb (8K x 8),20MHz,-,-,SPI,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),128Kb (16K x 8),40MHz,-,-,SPI,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),40MHz,-,-,SPI,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),1Mb (128K x 8),-,90ns,90ns,Parallel,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,32-TFSOP (0.465"   11.80mm Width),32-TSOP I
Volatile,SRAM,SRAM - Dual Port   Asynchronous,256Kb (16K x 16),-,55ns,55ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-TQFP (14x14)
Volatile,SRAM,SRAM - Dual Port   Asynchronous,64Kb (4K x 16),-,20ns,20ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TA),Surface Mount,100-LQFP,100-TQFP (14x14)
Volatile,SRAM,SRAM - Asynchronous,1Mb (64K x 16),-,20ns,20ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,44-BSOJ (0.400"   10.16mm Width),44-SOJ
Volatile,SRAM,SRAM - Asynchronous,1Mb (128K x 8),-,15ns,15ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,32-BSOJ (0.400"   10.16mm Width),32-SOJ
Volatile,SRAM,SRAM - Asynchronous,256Kb (32K x 8),-,15ns,15ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,28-BSOJ (0.300"   7.62mm Width),28-SOJ
Volatile,SRAM,SRAM - Dual Port   Asynchronous,8Kb (1K x 8),-,55ns,55ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,52-LCC (J-Lead),52-PLCC (19.13x19.13)
Volatile,SRAM,SRAM - Dual Port   Asynchronous,8Kb (1K x 8),-,100ns,100ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,52-LCC (J-Lead),52-PLCC (19.13x19.13)
Volatile,SRAM,SRAM - Dual Port   Asynchronous,16Kb (2K x 8),-,25ns,25ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,52-LCC (J-Lead),52-PLCC (19.13x19.13)
Volatile,SRAM,SRAM - Dual Port   Asynchronous,16Kb (2K x 8),-,100ns,100ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,52-LCC (J-Lead),52-PLCC (19.13x19.13)
Volatile,SRAM,SRAM - Dual Port   Asynchronous,8Kb (1K x 8),-,55ns,55ns,Parallel,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,52-LCC (J-Lead),52-PLCC (19.13x19.13)
