Positive,Fixed,1,30V,3.3V,-,1.5V @ 1.5A,1.5A,10mA,-,79dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,15V,1.2V,-,1.2V @ 800mA,800mA,5mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,15V,2.5V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,15V,5V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Adjustable,1,15V,1.25V,15V,1.3V @ 800mA,800mA,5mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,15V,1.2V,-,1.3V @ 800mA,800mA,5mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,1.2V,-,1.2V @ 800mA,800mA,5mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,1.8V,-,1.3V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,1.8V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,2.5V,-,1.3V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,3.3V,-,1.3V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
